Comuna,Año,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020
Tiltil,2022,402055.0,87.45897435897436,452.9,993.0,1460.0,5348.0,13530.0,0.0,10.0,3268.0,
Tiltil,2023,10315.0,,,11.0,2.0,16.0,61.0,0.0,,208.0,
Vitacura,2020,101765.0,83.89473684210526,48.3,337.0,0.0,0.0,0.0,0.0,102.0,1195.0,1018826.0
Vitacura,2021,473299.0,90.89423076923076,213.0,122074.0,118621.0,96883.0,0.0,2179.0,73.0,4974.0,
Vitacura,2022,1633093.0,94.05384615384617,473.2,3332.0,5873.0,19698.0,98643.0,0.0,59.0,9148.0,
Vitacura,2023,44050.0,,,62.0,40.0,158.0,402.0,0.0,,622.0,
Ñuñoa,2020,349809.0,88.1842105263158,58.2,75.0,0.0,0.0,0.0,0.0,419.0,5338.0,4777703.0
Ñuñoa,2021,1522035.0,87.15686274509804,286.8,250953.0,241571.0,173467.0,0.0,8339.0,258.0,22578.0,
Ñuñoa,2022,4927797.0,91.88205128205128,648.6,8280.0,12539.0,64093.0,184779.0,130.0,154.0,35753.0,
Ñuñoa,2023,135438.0,,,83.0,72.0,210.0,879.0,0.0,,2280.0,
