Comuna,Año,Población,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020,% Vacunados 1ra dosis,% Vacunados 2da dosis,% Vacunados 4ta dosis,% Vacunados dosis de refuerzo,% Fallecidos COVID,% Casos confirmados
Lo Prado,2021,93019,1222043.0,92.04615384615384,488.9,106005.0,100167.0,65693.0,0.0,3454.0,200.0,13132.0,,113.96058869693289,107.68445156365904,0.0,70.62320601167504,0.21500983670002904,1313.7563293520677
Lo Prado,2022,92443,2341579.0,92.55384615384617,580.9,5312.0,8313.0,32028.0,70495.0,0.0,71.0,22453.0,,5.746243631210584,8.992568393496533,76.25780210508097,34.646214424023455,0.07680408467920773,2532.9976309725994
Lo Prado,2023,91866,54783.0,,,48.0,37.0,93.0,276.0,0.0,,1398.0,,0.052250016328130096,0.040276054252933624,0.30043759388674807,0.10123440663575207,,59.63359676049899
Macul,2020,119230,307312.0,91.6421052631579,71.2,0.0,0.0,0.0,0.0,0.0,210.0,3262.0,1376346.0,0.0,0.0,0.0,0.0,0.17613016858173278,257.7472112723308
Macul,2021,120372,1221097.0,88.60769230769232,334.3,113168.0,108603.0,80389.0,0.0,3828.0,190.0,13260.0,,94.01521948625926,90.2228092911973,0.0,66.78380354235203,0.15784401688100225,1014.4360814807432
Macul,2022,121515,2855913.0,88.45384615384614,634.1,3992.0,6634.0,27356.0,83717.0,0.0,91.0,21366.0,,3.285191128667243,5.459408303501625,68.89437518001893,22.512447023001275,0.07488787392502984,2350.2555240093816
Macul,2023,122657,70759.0,,,42.0,28.0,100.0,313.0,0.0,,1326.0,,0.034241828839772705,0.022827885893181802,0.25518315302021083,0.08152816390422071,,57.68851349698754
Maipú,2020,511492,919609.0,92.02631578947368,76.5,165.0,0.0,0.0,0.0,0.0,949.0,8869.0,4424079.0,0.03225856904897828,0.0,0.0,0.0,0.1855356486513963,179.7895177246174
Maipú,2021,509527,4125886.0,84.97450980392156,327.1,379520.0,366020.0,272476.0,0.0,13077.0,832.0,45221.0,,74.48476724491539,71.83525112506305,0.0,53.476263279472924,0.16328869716423272,809.7482567165233
Maipú,2022,507563,10282376.0,91.77692307692308,601.5,12750.0,19894.0,90967.0,289014.0,4.0,255.0,75296.0,,2.512003436026661,3.9195134397109324,56.94150282822034,17.922307181571547,0.05024006872053321,2025.8324582367115
Maipú,2023,505599,262898.0,,,120.0,102.0,298.0,1087.0,0.0,,4608.0,,0.023734224157880058,0.02017409053419805,0.21499251383013018,0.05893998999206881,,51.99733385548626
Ñuñoa,2020,220973,349809.0,88.1842105263158,58.2,75.0,0.0,0.0,0.0,0.0,419.0,5338.0,4777703.0,0.033940798197064796,0.0,0.0,0.0,0.189615925927602,158.3039556868939
Ñuñoa,2021,226096,1522035.0,87.15686274509804,286.8,250953.0,241571.0,173467.0,0.0,8339.0,258.0,22578.0,,110.9940025475904,106.8444377609511,0.0,76.72271955275635,0.11411082018257732,673.1808612270894
Ñuñoa,2022,231220,4927797.0,91.88205128205128,648.6,8280.0,12539.0,64093.0,184779.0,130.0,154.0,35753.0,,3.581005103364761,5.422973791194533,79.91479975780642,27.71948793356976,0.06660323501427212,2131.21572528328
Ñuñoa,2023,236343,135438.0,,,83.0,72.0,210.0,879.0,0.0,,2280.0,,0.035118450726274945,0.030464198220383088,0.37191708660717687,0.08885391147611733,,57.30569553572562
Pedro Aguirre Cerda,2020,98333,265572.0,91.41052631578948,90.4,0.0,0.0,0.0,0.0,0.0,318.0,4241.0,1466746.0,0.0,0.0,0.0,0.0,0.32339092674890424,270.0741358445283
Pedro Aguirre Cerda,2021,97765,1109210.0,90.475,484.9,82545.0,78227.0,53773.0,0.0,2804.0,253.0,18302.0,,84.43205646192399,80.01534291413083,0.0,55.00230143711963,0.25878381833989667,1134.5675855367463
Pedro Aguirre Cerda,2022,97197,2312795.0,94.5,571.1,4223.0,6010.0,22433.0,56540.0,0.0,73.0,28311.0,,4.344784304042306,6.183318415177423,58.17051966624484,23.07993045052831,0.07510519872012511,2379.4921653960514
Pedro Aguirre Cerda,2023,96630,56206.0,,,14.0,19.0,60.0,166.0,0.0,,1730.0,,0.014488254165373072,0.019662630653006313,0.17178929938942358,0.06209251785159888,,58.166200972782775
Peñalolén,2020,238271,713002.0,92.26842105263158,76.7,20.0,0.0,0.0,0.0,0.0,475.0,6284.0,2333892.0,0.008393803694113005,0.0,0.0,0.0,0.19935283773518392,299.23994107549805
Peñalolén,2021,237822,2779274.0,88.89803921568628,468.1,196462.0,187982.0,129366.0,0.0,5306.0,426.0,26542.0,,82.60884190697244,79.04314991884686,0.0,54.396145016020384,0.1791255644978177,1168.6362069110512
Peñalolén,2022,237374,6274792.0,94.06923076923076,618.7,7747.0,12603.0,54480.0,139346.0,0.0,139.0,43241.0,,3.263626176413592,5.309343062003421,58.70314356247947,22.95112354343778,0.05855738202161989,2643.420088130966
Peñalolén,2023,236926,156168.0,,,90.0,61.0,226.0,836.0,0.0,,2646.0,,0.03798654432185577,0.025746435595924468,0.3528527894785714,0.09538843351932672,,65.91425170728414
Providencia,2020,139577,205799.0,83.67894736842106,53.0,1161.0,0.0,0.0,0.0,0.0,270.0,3137.0,7664249.0,0.8317989353546789,0.0,0.0,0.0,0.1934416128731811,147.44477958402888
Providencia,2021,140676,888492.0,89.36346153846154,246.3,239948.0,233878.0,188571.0,0.0,4878.0,225.0,12698.0,,170.56782962267906,166.2529500412295,0.0,134.0463192015696,0.1599419943700418,631.5874776081208
Providencia,2022,141775,3249546.0,92.65641025641024,539.6,5802.0,9993.0,42706.0,195458.0,1.0,131.0,23383.0,,4.092399929465702,7.0484923293951685,137.86492682066657,30.12237700581908,0.09239992946570269,2292.0444366073
Providencia,2023,142875,92201.0,,,149.0,101.0,217.0,643.0,0.0,,1600.0,,0.10428696412948381,0.07069116360454944,0.45004374453193347,0.15188101487314085,,64.53263342082239
Pudahuel,2020,226464,601038.0,91.26315789473684,88.8,0.0,0.0,0.0,0.0,0.0,359.0,4882.0,3060444.0,0.0,0.0,0.0,0.0,0.15852409212943336,265.40112335735483
Pudahuel,2021,226803,2503012.0,90.33269230769233,438.9,192590.0,183527.0,124891.0,0.0,2948.0,305.0,21027.0,,84.91510253391709,80.91912364474896,0.0,55.06585009898458,0.13447793900433416,1103.6062133216933
Pudahuel,2022,227142,5268871.0,93.31794871794872,562.6,8591.0,13295.0,53366.0,133422.0,0.0,135.0,34858.0,,3.7822155303730702,5.853166741509716,58.73946694138469,23.494554067499624,0.05943418654410017,2319.6374954874045
Pudahuel,2023,227481,126468.0,,,64.0,63.0,185.0,595.0,0.0,,2142.0,,0.02813421780280551,0.027694620649636674,0.2615603061354575,0.08132547333623467,,55.59497276695636
Quilicura,2020,207245,558569.0,88.98421052631579,89.7,0.0,0.0,0.0,0.0,0.0,269.0,3223.0,2984959.0,0.0,0.0,0.0,0.0,0.12979806509204084,269.52109821708603
Quilicura,2021,206839,1990359.0,87.73269230769232,455.4,170718.0,161334.0,109688.0,0.0,8353.0,239.0,14959.0,,82.53665894729717,77.99979694351646,0.0,53.0306180169117,0.11554880849356264,962.2745226963967
Quilicura,2022,206434,4387950.0,91.31538461538462,657.5,7879.0,12143.0,48121.0,115739.0,0.0,84.0,24029.0,,3.816716238604106,5.882267455942335,56.06586124378736,23.310598060397027,0.0406909714485017,2125.5946210411075
